Name,Content Type,Removed in Version,Reason,Replacement Content,Replacement Content Link
ESCU - Previously Seen AWS Provisioning Activity Sources,Baseline,5.2.0,"All detection(s) which leverage this baseline have been deprecated. As such, this baseline has been deprecated as well.",No Replacement Content Available,No Content Link Available
ESCU - Previously Seen AWS Regions,Baseline,5.2.0,"All detection(s) which leverage this baseline have been deprecated. As such, this baseline has been deprecated as well.",No Replacement Content Available,No Content Link Available
ESCU - Previously Seen EC2 AMIs,Baseline,5.2.0,"All detection(s) which leverage this baseline have been deprecated. As such, this baseline has been deprecated as well.",No Replacement Content Available,No Content Link Available
ESCU - Previously Seen EC2 Instance Types,Baseline,5.2.0,"All detection(s) which leverage this baseline have been deprecated. As such, this baseline has been deprecated as well.",No Replacement Content Available,No Content Link Available
ESCU - Previously Seen EC2 Launches By User,Baseline,5.2.0,"All detection(s) which leverage this baseline have been deprecated. As such, this baseline has been deprecated as well.",No Replacement Content Available,No Content Link Available
ESCU - Previously Seen EC2 Modifications By User,Baseline,5.2.0,"All detection(s) which leverage this baseline have been deprecated. As such, this baseline has been deprecated as well.",No Replacement Content Available,No Content Link Available
ESCU - Previously seen users in CloudTrail,Baseline,5.2.0,"All detection(s) which leverage this baseline have been deprecated. As such, this baseline has been deprecated as well.",No Replacement Content Available,No Content Link Available
ESCU - Splunk Command and Scripting Interpreter Risky SPL MLTK Baseline,Baseline,5.12.0,Baseline is deprecated as the associated detection is deprecated.,No Replacement Content Available,No Content Link Available
ESCU - Systems Ready for Spectre-Meltdown Windows Patch,Baseline,5.2.0,"All detection(s) which leverage this baseline have been deprecated. As such, this baseline has been deprecated as well.",No Replacement Content Available,No Content Link Available
ESCU - Update previously seen users in CloudTrail,Baseline,5.2.0,"All detection(s) which leverage this baseline have been deprecated. As such, this baseline has been deprecated as well.",No Replacement Content Available,No Content Link Available
ESCU - Abnormally High AWS Instances Launched by User - Rule,Detection,5.2.0,Detections updated to use the new search logic and field names due to the TA update,Abnormally High Number Of Cloud Instances Launched,https://research.splunk.com/cloud/f2361e9f-3928-496c-a556-120cd4223a65
ESCU - Abnormally High AWS Instances Launched by User - MLTK - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Abnormally High AWS Instances Terminated by User - Rule,Detection,5.2.0,Detections updated to use the new search logic and field names due to the TA update,Abnormally High Number Of Cloud Instances Destroyed,https://research.splunk.com/cloud/ef629fc9-1583-4590-b62a-f2247fbf7bbf
ESCU - Abnormally High AWS Instances Terminated by User - MLTK - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Account Discovery With Net App - Rule,Detection,5.2.0,"This analytic was a TTP that focused on unrelated things and called account discovery. Since there were other detection that overlapped with it. I choose to deprecate it, and replace it with an updated version of 339805ce-ac30-11eb-b87d-acde48001122 / Windows Excessive Usage Of Net App.",Windows Excessive Usage Of Net App,https://research.splunk.com/endpoint/355ba810-0a20-4215-8485-9ce3f87f2e38
ESCU - Any Powershell DownloadFile - Rule,Detection,5.12.0,Detection has been replaced by a new detection with a better logic and grouping in order to ease its management.,Windows File Download Via PowerShell,https://research.splunk.com/endpoint/58c4e56c-b5b8-46a3-b5fb-6537dca3c6de
ESCU - Any Powershell DownloadString - Rule,Detection,5.12.0,Detection has been replaced by a new detection with a better logic and grouping in order to ease its management.,Windows File Download Via PowerShell,https://research.splunk.com/endpoint/58c4e56c-b5b8-46a3-b5fb-6537dca3c6de
ESCU - ASL AWS CreateAccessKey - Rule,Detection,5.2.0,Detections updated to use the new search logic and field names due to the TA update,ASL AWS Create Access Key,https://research.splunk.com/cloud/81a9f2fe-1697-473c-af1d-086b0d8b63c8
ESCU - ASL AWS Excessive Security Scanning - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - ASL AWS Password Policy Changes - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Attempt To Stop Security Service - Rule,Detection,5.2.0,Renamed and updated logic,Windows Attempt To Stop Security Service,https://research.splunk.com/endpoint/9ed27cea-4e27-4eff-b2c6-aac9e78a7517
ESCU - Attempted Credential Dump From Registry via Reg exe - Rule,Detection,5.2.0,"This analytic had some overlap with another one, hence the deprecation. It was replaced by 8bbb7d58-b360-11eb-ba21-acde48001122 / Windows Sensitive Registry Hive Dump Via CommandLine",Windows Sensitive Registry Hive Dump Via CommandLine,https://research.splunk.com/endpoint/5aaff29d-0cce-405b-9ee8-5d06b49d045e
ESCU - AWS Cloud Provisioning From Previously Unseen City - Rule,Detection,5.2.0,Detections updated to use the new search logic and field names due to the TA update,Cloud Provisioning Activity From Previously Unseen City,https://research.splunk.com/cloud/e7ecc5e0-88df-48b9-91af-51104c68f02f
ESCU - AWS Cloud Provisioning From Previously Unseen Country - Rule,Detection,5.2.0,Detections updated to use the new search logic and field names due to the TA update,Cloud Provisioning Activity From Previously Unseen Country,https://research.splunk.com/cloud/94994255-3acf-4213-9b3f-0494df03bb31
ESCU - AWS Cloud Provisioning From Previously Unseen IP Address - Rule,Detection,5.2.0,Detections updated to use the new search logic and field names due to the TA update,Cloud Provisioning Activity From Previously Unseen IP Address,https://research.splunk.com/cloud/f86a8ec9-b042-45eb-92f4-e9ed1d781078
ESCU - AWS Cloud Provisioning From Previously Unseen Region - Rule,Detection,5.2.0,Detections updated to use the new search logic and field names due to the TA update,Cloud Provisioning Activity From Previously Unseen Region,https://research.splunk.com/cloud/5aba1860-9617-4af9-b19d-aecac16fe4f2
ESCU - AWS Cross Account Activity From Previously Unseen Account - Rule,Detection,5.4.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - aws detect attach to role policy - Rule,Detection,5.4.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - aws detect permanent key creation - Rule,Detection,5.4.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - aws detect role creation - Rule,Detection,5.4.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - aws detect sts assume role abuse - Rule,Detection,5.4.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - aws detect sts get session token abuse - Rule,Detection,5.4.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - AWS EKS Kubernetes cluster sensitive object access - Rule,Detection,5.2.0,Detections updated to use the new search logic and field names due to the TA update,Kubernetes Abuse of Secret by Unusual Location,https://research.splunk.com/cloud/40a064c1-4ec1-4381-9e35-61192ba8ef82
ESCU - AWS SAML Access by Provider User and Principal - Rule,Detection,5.4.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - CertUtil Download With URLCache and Split Arguments - Rule,Detection,5.8.0,"Detection deprecated in favor of ""Windows File Download Via CertUtil"", in order to provide a better experience of the alert",Windows File Download Via CertUtil,https://research.splunk.com/endpoint/7fac8d40-e370-45ea-a4a3-031bbcc18b02
ESCU - CertUtil Download With VerifyCtl and Split Arguments - Rule,Detection,5.8.0,"Detection deprecated in favor of ""Windows File Download Via CertUtil"", in order to provide a better experience of the alert",Windows File Download Via CertUtil,https://research.splunk.com/endpoint/7fac8d40-e370-45ea-a4a3-031bbcc18b02
ESCU - Change Default File Association - Rule,Detection,5.2.0,Renamed and updated logic,Windows New Default File Association Value Set,https://research.splunk.com/endpoint/7d1f031f-f1c9-43be-8b0b-c4e3e8a8928a
ESCU - Cisco Secure Application Alerts - Rule,Detection,5.14.0,Detection has been deprecated since it has been replaced with a better named detection to reflect the correct product,Splunk AppDynamics Secure Application Alerts,https://research.splunk.com/application/d1a45d84-8dd1-4b31-8854-62b0b1d5da0b
ESCU - Clients Connecting to Multiple DNS Servers - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Cloud Network Access Control List Deleted - Rule,Detection,5.2.0,Detections updated to use the new search logic and field names due to the TA update,AWS Network Access Control List Deleted,https://research.splunk.com/cloud/ada0f478-84a8-4641-a3f1-d82362d6fd75
ESCU - Cmdline Tool Not Executed In CMD Shell - Rule,Detection,5.2.0,Renamed and updated logic,Windows Cmdline Tool Execution From Non-Shell Process,https://research.splunk.com/endpoint/2afa393f-b88d-41b7-9793-623c93a2dfde
ESCU - Correlation by Repository and Risk - Rule,Detection,5.2.0,Detections updated to use the datamodel,Risk Rule for Dev Sec Ops by Repository,https://research.splunk.com/cloud/161bc0ca-4651-4c13-9c27-27770660cf67
ESCU - Correlation by User and Risk - Rule,Detection,5.2.0,Detections updated to use the datamodel,Risk Rule for Dev Sec Ops by Repository,https://research.splunk.com/cloud/161bc0ca-4651-4c13-9c27-27770660cf67
ESCU - Create local admin accounts using net exe - Rule,Detection,5.2.0,Renamed and updated logic,Windows Create Local Administrator Account Via Net,https://research.splunk.com/endpoint/2c568c34-bb57-4b43-9d75-19c605b98e70
ESCU - Deleting Of Net Users - Rule,Detection,5.2.0,Renamed and updated logic,Windows User Deletion Via Net,https://research.splunk.com/endpoint/b0b6fd2c-8953-4d1b-8f7b-56075ea6ab3e
ESCU - Detect Activity Related to Pass the Hash Attacks - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Detect API activity from users without MFA - Rule,Detection,5.2.0,Detections updated to use the new search logic and field names due to the TA update,AWS Successful Single-Factor Authentication,https://research.splunk.com/cloud/a520b1fe-cc9e-4f56-b762-18354594c52f
ESCU - Detect AWS API Activities From Unapproved Accounts - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Detect Critical Alerts from Security Tools - Rule,Detection,5.2.0,"As discussed internally, this analytic was too generic for an analyst to do anything with it. It was deprecated in favor of the more specific approach provided by analytics such as Microsoft Defender ATP Alerts and Microsoft Defender Incident Alerts. Going forward analytics from leveraging alerts from vendors will have their specific analytics.","Microsoft Defender ATP Alerts
Microsoft Defender Incident Alerts","https://research.splunk.com/endpoint/38f034ed-1598-46c8-95e8-14edf05fdf5d
https://research.splunk.com/endpoint/13435b55-afd8-46d4-9045-7d5457f430a5"
ESCU - Detect DNS requests to Phishing Sites leveraging EvilGinx2 - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Detect Large Outbound ICMP Packets - Rule,Detection,5.6.0,Detection has been replaced by a new detection with a more specific name,Detect Large ICMP Traffic,https://research.splunk.com/network/9cd6d066-94d5-4ccd-a8b9-28c03ca91be8
ESCU - Detect Long DNS TXT Record Response - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Detect Mimikatz Using Loaded Images - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Detect Mimikatz Via PowerShell And EventCode 4703 - Rule,Detection,5.2.0,Updated to a new detection name,Detect Mimikatz With PowerShell Script Block Logging,https://research.splunk.com/endpoint/8148c29c-c952-11eb-9255-acde48001122
ESCU - Detect new API calls from user roles - Rule,Detection,5.2.0,Detections updated to use the new search logic and field names due to the TA update,Cloud API Calls From Previously Unseen User Roles,https://research.splunk.com/cloud/2181ad1f-1e73-4d0c-9780-e8880482a08f
ESCU - Detect new user AWS Console Login - Rule,Detection,5.2.0,Detections updated to use the new search logic and field names due to the TA update,Detect AWS Console Login by New User,https://research.splunk.com/cloud/bc91a8cd-35e7-4bb2-6140-e756cc46fd71
ESCU - Detect processes used for System Network Configuration Discovery - Rule,Detection,5.2.0,Renamed and updated logic,Potential System Network Configuration Discovery Activity,https://research.splunk.com/endpoint/3f0b95e3-3195-46ac-bea3-84fb59e7fac5
ESCU - Detect Spike in AWS API Activity - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Detect Spike in Network ACL Activity - Rule,Detection,5.2.0,Detections updated to use the new search logic and field names due to the TA update,Abnormally High Number Of Cloud Infrastructure API Calls,https://research.splunk.com/cloud/0840ddf1-8c89-46ff-b730-c8d6722478c0
ESCU - Detect Spike in Security Group Activity - Rule,Detection,5.2.0,Detections updated to use the new search logic and field names due to the TA update,Abnormally High Number Of Cloud Security Group API Calls,https://research.splunk.com/cloud/d4dfb7f3-7a37-498a-b5df-f19334e871af
ESCU - Detect USB device insertion - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Detect web traffic to dynamic domain providers - Rule,Detection,5.2.0,Updated to use a different log source,Detect hosts connecting to dynamic domain providers,https://research.splunk.com/network/a1e761ac-1344-4dbd-88b2-3f34c912d359
ESCU - Detect Webshell Exploit Behavior - Rule,Detection,5.2.0,Renamed and updated logic,Windows Suspicious Child Process Spawned From WebServer,https://research.splunk.com/endpoint/2d4470ef-7158-4b47-b68b-1f7f16382156
ESCU - Detection of DNS Tunnels - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Disabling Net User Account - Rule,Detection,5.2.0,Renamed and updated logic,Windows User Disabled Via Net,https://research.splunk.com/endpoint/b0359e05-c87b-4354-83d8-aee0d890243f
ESCU - DNS Query Requests Resolved by Unauthorized DNS Servers - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - DNS record changed - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Domain Account Discovery With Net App - Rule,Detection,5.2.0,"This analytic was a TTP that looked only for commands that tries to query info about the users via net user /do. This had a couple of issues, such as triggering on creation of users via the /add flag etc..
It was deprecated in favor of a more tighter approach in 5d0d4830-0133-11ec-bae3-acde48001122",Windows User Discovery Via Net,https://research.splunk.com/endpoint/7742987e-88c1-476b-a626-a869e088ab72
ESCU - Domain Group Discovery With Net - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,Windows Group Discovery Via Net,https://research.splunk.com/endpoint/c5c8e0f3-147a-43da-bf04-4cfaec27dc44
ESCU - Dump LSASS via procdump Rename - Rule,Detection,5.2.0,Updated to a new detection name,Dump LSASS via procdump,https://research.splunk.com/endpoint/3742ebfe-64c2-11eb-ae93-0242ac130002
ESCU - EC2 Instance Modified With Previously Unseen User - Rule,Detection,5.2.0,Detections updated to use the new search logic and field names due to the TA update,Cloud API Calls From Previously Unseen User Roles,https://research.splunk.com/cloud/2181ad1f-1e73-4d0c-9780-e8880482a08f
ESCU - EC2 Instance Started In Previously Unseen Region - Rule,Detection,5.2.0,Detections updated to use the new search logic and field names due to the TA update,Cloud Compute Instance Created In Previously Unused Region,https://research.splunk.com/cloud/fa4089e2-50e3-40f7-8469-d2cc1564ca59
ESCU - EC2 Instance Started With Previously Unseen AMI - Rule,Detection,5.2.0,Detections updated to use the new search logic and field names due to the TA update,Cloud Compute Instance Created With Previously Unseen Image,https://research.splunk.com/cloud/bc24922d-987c-4645-b288-f8c73ec194c4
ESCU - EC2 Instance Started With Previously Unseen Instance Type - Rule,Detection,5.2.0,Detections updated to use the new search logic and field names due to the TA update,Cloud Compute Instance Created With Previously Unseen Instance Type,https://research.splunk.com/cloud/c6ddbf53-9715-49f3-bb4c-fb2e8a309cda
ESCU - EC2 Instance Started With Previously Unseen User - Rule,Detection,5.2.0,Detections updated to use the new search logic and field names due to the TA update,Cloud Compute Instance Created By Previously Unseen User,https://research.splunk.com/cloud/37a0ec8d-827e-4d6d-8025-cedf31f3a149
ESCU - Elevated Group Discovery With Net - Rule,Detection,5.2.0,Renamed and updated logic,Windows Sensitive Group Discovery With Net,https://research.splunk.com/endpoint/d9eb7cda-5622-4722-bc88-7f2442f4b5af
ESCU - Excel Spawning PowerShell - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,Windows Office Product Spawned Uncommon Process,https://research.splunk.com/endpoint/55d8741c-fa32-4692-8109-410304961eb8
ESCU - Excel Spawning Windows Script Host - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Excessive Service Stop Attempt - Rule,Detection,5.2.0,Renamed and updated logic,Windows Excessive Service Stop Attempt,https://research.splunk.com/endpoint/8f3a614f-6b98-4f7d-82dd-d0df38452a8b
ESCU - Excessive Usage Of Net App - Rule,Detection,5.2.0,Renamed and updated logic,Windows Excessive Usage Of Net App,https://research.splunk.com/endpoint/355ba810-0a20-4215-8485-9ce3f87f2e38
ESCU - Execution of File With Spaces Before Extension - Rule,Detection,5.2.0,Updated to a new detection name,Execution of File with Multiple Extensions,https://research.splunk.com/endpoint/b06a555e-dce0-417d-a2eb-28a5d8d66ef7
ESCU - Extended Period Without Successful Netbackup Backups - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Extraction of Registry Hives - Rule,Detection,5.2.0,Renamed and updated logic,Windows Sensitive Registry Hive Dump Via CommandLine,https://research.splunk.com/endpoint/5aaff29d-0cce-405b-9ee8-5d06b49d045e
ESCU - First time seen command line argument - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - GCP Detect accounts with high risk roles by project - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - GCP Detect high risk permissions by resource and account - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - gcp detect oauth token abuse - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - GCP Kubernetes cluster scan detection - Rule,Detection,5.2.0,Detections updated to use the new search logic and field names due to the TA update,Kubernetes Scanning by Unauthenticated IP Address,https://research.splunk.com/cloud/f9cadf4e-df22-4f4e-a08f-9d3344c2165d
ESCU - GitHub Actions Disable Security Workflow - Rule,Detection,5.4.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,GitHub Organizations Disable Classic Branch Protection Rule,https://research.splunk.com/cloud/33cffee0-41ee-402e-a238-d37825f2d788
ESCU - Github Commit Changes In Master - Rule,Detection,5.4.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Github Commit In Develop - Rule,Detection,5.4.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - GitHub Dependabot Alert - Rule,Detection,5.4.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,GitHub Enterprise Disable Dependabot,https://research.splunk.com/cloud/787dd1c1-eb3a-4a31-8e8c-2ad24b214bc8
ESCU - GitHub Pull Request from Unknown User - Rule,Detection,5.4.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Identify New User Accounts - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Known Services Killed by Ransomware - Rule,Detection,5.4.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,Windows Security And Backup Services Stop,https://research.splunk.com/endpoint/9c24aef6-cad9-4931-acce-74318aa5663b
ESCU - Kubernetes AWS detect most active service accounts by pod - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Kubernetes AWS detect RBAC authorization by account - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Kubernetes AWS detect sensitive role access - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Kubernetes AWS detect service accounts forbidden failure access - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Kubernetes Azure active service accounts by pod namespace - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Kubernetes Azure detect RBAC authorization by account - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Kubernetes Azure detect sensitive object access - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Kubernetes Azure detect sensitive role access - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Kubernetes Azure detect service accounts forbidden failure access - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Kubernetes Azure detect suspicious kubectl calls - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Kubernetes Azure pod scan fingerprint - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Kubernetes Azure scan fingerprint - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Kubernetes GCP detect most active service accounts by pod - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Kubernetes GCP detect RBAC authorizations by account - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Kubernetes GCP detect sensitive object access - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Kubernetes GCP detect sensitive role access - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Kubernetes GCP detect service accounts forbidden failure access - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Kubernetes GCP detect suspicious kubectl calls - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Linux Auditd Find Private Keys - Rule,Detection,5.2.0,Renamed and updated logic,Linux Auditd Private Keys and Certificate Enumeration,https://research.splunk.com/endpoint/892eb674-3344-4143-8e52-4775b1daf3f1
ESCU - Local Account Discovery with Net - Rule,Detection,5.2.0,Renamed and updated logic,Windows User Discovery Via Net,https://research.splunk.com/endpoint/7742987e-88c1-476b-a626-a869e088ab72
ESCU - Monitor DNS For Brand Abuse - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - MSHTML Module Load in Office Product - Rule,Detection,5.2.0,Renamed and updated logic,Windows Office Product Loaded MSHTML Module,https://research.splunk.com/endpoint/4cc015c9-687c-40d2-adcc-46350f66e10c
ESCU - Multiple Okta Users With Invalid Credentials From The Same IP - Rule,Detection,5.2.0,Detections updated to use the new search logic and field names due to the TA update,Okta Multiple Users Failing To Authenticate From Ip,https://research.splunk.com/application/de365ffa-42f5-46b5-b43f-fa72290b8218
ESCU - Net Localgroup Discovery - Rule,Detection,5.2.0,Both of these analytics were deprecated in favor of c5c8e0f3-147a-43da-bf04-4cfaec27dc44 / Windows Group Discovery Via Net,Windows Group Discovery Via Net,https://research.splunk.com/endpoint/c5c8e0f3-147a-43da-bf04-4cfaec27dc44
ESCU - Network Connection Discovery With Net - Rule,Detection,5.2.0,Renamed and updated logic,Windows Network Connection Discovery Via Net,https://research.splunk.com/endpoint/86a5b949-679b-4197-8d4c-9c180a818c45
ESCU - O365 Suspicious Admin Email Forwarding - Rule,Detection,5.2.0,Detections updated to use the new search logic and field names due to the TA update,O365 Mailbox Email Forwarding Enabled,https://research.splunk.com/cloud/0b6bc75c-05d1-4101-9fc3-97e706168f24
ESCU - O365 Suspicious Rights Delegation - Rule,Detection,5.2.0,Detections updated to use the new search logic and field names due to the TA update,O365 Elevated Mailbox Permission Assigned,https://research.splunk.com/cloud/2246c142-a678-45f8-8546-aaed7e0efd30
ESCU - O365 Suspicious User Email Forwarding - Rule,Detection,5.2.0,Detections updated to use the new search logic and field names due to the TA update,O365 Mailbox Email Forwarding Enabled,https://research.splunk.com/cloud/0b6bc75c-05d1-4101-9fc3-97e706168f24
ESCU - Office Application Drop Executable - Rule,Detection,5.2.0,Renamed and updated logic,Windows Office Product Dropped Uncommon File,https://research.splunk.com/endpoint/7ac0fced-9eae-4381-a748-90dcd1aa9393
